Name;eta_B_star;eta_B_star_norm
2,2,3,3,4-pentamethylpentane;13.02791;0.94385
4-propylheptane;1.23045;0.00000
2,2,4,5-tetramethylhexane;10.63336;0.75228
2,2,4,4-tetramethylhexane;11.69950;0.83757
2,2,3,3-tetramethylhexane;10.91205;0.77457
2,2,3,4-tetramethylhexane;9.45528;0.65803
3,3,4,4-tetramethylhexane;9.81824;0.68706
2,3,4,4-tetramethylhexane;9.04014;0.62481
2,3,3,5-tetramethylhexane;10.03860;0.70469
2,3,3,4-tetramethylhexane;8.86001;0.61040
2,3,4,5-tetramethylhexane;8.15377;0.55390
2,2,5,5-tetramethylhexane;12.79313;0.92507
2,2,3,5-tetramethylhexane;10.44819;0.73746
2,3,5-trimethylheptane;6.15634;0.39409
2,4,5-trimethylheptane;6.14776;0.39341
3,4,5-trimethylheptane;5.15995;0.31438
3,4,4-trimethylheptane;6.73898;0.44071
3,3,5-trimethylheptane;7.22913;0.47992
3,3,4-trimethylheptane;6.74386;0.44110
2,3,3-trimethylheptane;7.42546;0.49563
2,4,6-trimethylheptane;7.14487;0.47318
2,4,4-trimethylheptane;7.91138;0.53451
2,3,6-trimethylheptane;6.83806;0.44864
2,3,4-trimethylheptane;5.84634;0.36929
2,2,6-trimethylheptane;9.00543;0.62204
2,2,5-trimethylheptane;8.32059;0.56725
2,2,3-trimethylheptane;7.83289;0.52823
2,5,5-trimethylheptane;7.90985;0.53438
2,2,4-trimethylheptane;8.31990;0.56719
3,3-diethyl-2-methylpentane;5.22573;0.31964
3,3-diethylhexane;3.10667;0.15011
3,4-diethylhexane;2.16401;0.07469
2,4-dimethyl-3-isopropylpentane;8.15183;0.55374
3,4-diethylheptane;2.14978;0.06098
3,3-diethylheptane;3.08531;0.12262
4,4-diethylheptane;3.08607;0.12267
3,5-diethylheptane;2.45138;0.08085
2,4-dimethyl-3,3-diethylpentane;7.30526;0.40063
2,2-dimethyl-3,3-diethylpentane;8.66818;0.49042
4,4-dimethyl-3-ethylheptane;6.01586;0.31568
2,4-dimethyl-3-ethylheptane;5.12643;0.25709
3,4-dimethyl-3-ethylheptane;5.60648;0.28871
3,5-dimethyl-3-ethylheptane;6.09211;0.32071
2,6-dimethyl-3-ethylheptane;6.11796;0.32241
2,5-dimethyl-3-ethylheptane;5.43083;0.27714
2,3-dimethyl-3-ethylheptane;6.29435;0.33403
2,2-dimethyl-3-ethylheptane;7.10038;0.38713
2,4-dimethyl-3-isopropylhexane;7.42867;0.40876
2,2-dimethyl-3-isopropylhexane;9.39494;0.53830
2,3-dimethyl-3-isopropylhexane;8.40254;0.47292
2,5-dimethyl-3-isopropylhexane;8.41731;0.47389
3,5-dimethyl-4-ethylheptane;4.44664;0.21230
2,3-dimethyl-4-ethylheptane;5.13238;0.25748
2,4-dimethyl-4-ethylheptane;6.77777;0.36588
2,5-dimethyl-4-ethylheptane;5.43482;0.27740
2,6-dimethyl-4-ethylheptane;6.41999;0.34231
3,3-dimethyl-4-ethylheptane;6.01760;0.31580
3,4-dimethyl-4-ethylheptane;5.60145;0.28838
2,2-dimethyl-4-ethylheptane;7.58393;0.41899
2,2-dimethyl-5-ethylheptane;7.59347;0.41962
2,3-dimethyl-5-ethylheptane;5.43126;0.27717
2,4-dimethyl-5-ethylheptane;5.43322;0.27730
2,5-dimethyl-5-ethylheptane;6.77877;0.36594
3,3-dimethyl-5-ethylheptane;6.50035;0.34760
3,4-dimethyl-5-ethylheptane;4.44526;0.21221
4,4-dimethylnonane;5.27055;0.26658
2,5-dimethylnonane;4.50496;0.21614
3,4-dimethylnonane;3.51709;0.15106
3,5-dimethylnonane;3.82042;0.17105
3,6-dimethylnonane;3.82236;0.17117
2,6-dimethylnonane;4.50576;0.21620
3,3-dimethylnonane;5.27390;0.26680
3,7-dimethylnonane;3.82378;0.17127
2,4-dimethylnonane;4.50853;0.21638
2,3-dimethylnonane;4.20056;0.19609
2,2-dimethylnonane;6.35868;0.33827
4,5-dimethylnonane;3.51839;0.15115
4,6-dimethylnonane;3.82169;0.17113
5,5-dimethylnonane;5.27166;0.26665
2,7-dimethylnonane;4.50712;0.21629
2,8-dimethylnonane;5.19038;0.26130
5-ethylnonane;1.22487;0.00005
4-ethylnonane;1.22416;0.00000
3-ethylnonane;1.22412;0.00000
2,2,3,3,4,4-hexamethylpentane;16.40313;1.00000
4-isopropyloctane;3.51830;0.15114
2-methyl-3,3-diethylhexane;5.19590;0.26166
2-methyl-3,4-diethylhexane;4.44833;0.21241
3-methyl-3,4-diethylhexane;4.92621;0.24390
2-methyl-3-ethyloctane;3.51728;0.15107
4-methyl-3-ethyloctane;2.83574;0.10617
3-methyl-3-ethyloctane;4.17883;0.19466
2-methyl-3-isopropylheptane;5.81471;0.30243
3-methyl-4,4-diethylhexane;4.51498;0.21680
2-methyl-4,4-diethylhexane;5.68284;0.29374
3-methyl-4-ethyloctane;2.83536;0.10615
2-methyl-4-ethyloctane;3.82258;0.17119
4-methyl-4-ethyloctane;4.17792;0.19460
4-methyl-4-isopropylheptane;6.28923;0.33369
2-methyl-4-isopropylheptane;6.11841;0.32244
3-methyl-4-isopropylheptane;5.12802;0.25719
3-methyl-4-propylheptane;2.83559;0.10616
2-methyl-4-propylheptane;3.81961;0.17099
4-methyl-4-propylheptane;4.17793;0.19460
2-methyl-5-ethyloctane;3.82127;0.17110
4-methyl-5-ethyloctane;2.83536;0.10615
3-methyl-5-ethyloctane;3.13638;0.12598
4-methyl-6-ethyloctane;3.13852;0.12612
3-methyl-6-ethyloctane;3.13970;0.12620
2-methyl-6-ethyloctane;3.82218;0.17116
4-methyldecane;1.90637;0.04495
2-methyldecane;2.59302;0.09018
3-methyldecane;1.90690;0.04498
5-methyldecane;1.90783;0.04504
2,3,3,4,5-pentamethylhexane;11.10018;0.65064
2,2,3,4,5-pentamethylhexane;11.69064;0.68954
2,2,3,3,5-pentamethylhexane;13.44798;0.80531
2,2,3,3,4-pentamethylhexane;12.27283;0.72789
2,2,3,5,5-pentamethylhexane;14.14424;0.85118
2,2,4,4,5-pentamethylhexane;13.73227;0.82404
2,2,3,4,4-pentamethylhexane;12.55949;0.74678
2,3,3,4,4-pentamethylhexane;11.86361;0.70093
4-propyloctane;1.22442;0.00002
4-tert-butylheptane;7.10731;0.38759
2,2,4,4-tetramethyl-3-ethylpentane;12.97269;0.77400
2,2,3,4-tetramethyl-3-ethylpentane;11.86512;0.70103
2,2,6,6-tetramethylheptane;12.71761;0.75720
2,3,3,5-tetramethylheptane;9.29734;0.53187
2,3,3,4-tetramethylheptane;8.80350;0.49933
2,2,3,4-tetramethylheptane;9.39114;0.53805
2,2,5,6-tetramethylheptane;10.55881;0.61497
2,3,4,4-tetramethylheptane;8.99681;0.51207
2,2,5,5-tetramethylheptane;11.63177;0.68566
2,4,5,5-tetramethylheptane;9.29444;0.53168
2,2,4,6-tetramethylheptane;10.86847;0.63537
2,3,3,6-tetramethylheptane;9.98066;0.57689
3,3,4,4-tetramethylheptane;9.75758;0.56219
2,2,3,3-tetramethylheptane;10.85258;0.63433
3,4,4,5-tetramethylheptane;8.12623;0.45471
2,2,3,6-tetramethylheptane;10.38365;0.60343
3,3,5,5-tetramethylheptane;10.53925;0.61369
3,3,4,5-tetramethylheptane;8.30905;0.46676
2,4,4,5-tetramethylheptane;9.28384;0.53098
2,2,3,5-tetramethylheptane;9.70819;0.55893
2,3,4,5-tetramethylheptane;7.42411;0.40846
2,4,4,6-tetramethylheptane;10.45892;0.60839
2,3,5,6-tetramethylheptane;8.41726;0.47389
2,3,5,5-tetramethylheptane;9.47053;0.54328
2,2,4,4-tetramethylheptane;11.63401;0.68581
2,3,4,6-tetramethylheptane;8.40813;0.47329
2,2,4,5-tetramethylheptane;9.88128;0.57034
2,3,4-trimethyl-3-ethylhexane;7.71616;0.42770
2,2,5-trimethyl-3-ethylhexane;9.69939;0.55835
2,3,5-trimethyl-3-ethylhexane;8.88619;0.50478
2,4,4-trimethyl-3-ethylhexane;8.30965;0.46680
2,2,4-trimethyl-3-ethylhexane;8.70575;0.49289
2,2,3-trimethyl-3-ethylhexane;9.75980;0.56233
2,2,4-trimethyl-3-isopropylpentane;11.68790;0.68936
2,3,4-trimethyl-3-isopropylpentane;10.51129;0.61184
2,3,3-trimethyl-4-ethylhexane;8.12461;0.45461
2,2,5-trimethyl-4-ethylhexane;9.87957;0.57022
2,3,4-trimethyl-4-ethylhexane;7.90141;0.43990
2,2,4-trimethyl-4-ethylhexane;10.54268;0.61391
3,3,4-trimethyl-4-ethylhexane;8.67043;0.49057
2,3,5-trimethyl-4-ethylhexane;7.42468;0.40850
2,2,3-trimethyl-4-ethylhexane;8.71944;0.49380
2,2,6-trimethyloctane;8.27206;0.46432
2,4,4-trimethyloctane;7.86745;0.43767
2,3,7-trimethyloctane;6.80038;0.36737
2,3,6-trimethyloctane;6.11166;0.32199
2,4,5-trimethyloctane;6.12114;0.32262
2,2,3-trimethyloctane;7.78751;0.43240
2,3,5-trimethyloctane;6.11668;0.32232
2,4,6-trimethyloctane;6.41748;0.34214
2,2,5-trimethyloctane;8.26992;0.46418
3,4,4-trimethyloctane;6.70075;0.36080
2,3,4-trimethyloctane;5.81409;0.30239
2,3,3-trimethyloctane;7.38454;0.40585
2,2,4-trimethyloctane;8.27373;0.46443
3,3,4-trimethyloctane;6.70101;0.36082
2,2,7-trimethyloctane;8.95617;0.50939
4,4,5-trimethyloctane;6.69338;0.36032
3,5,5-trimethyloctane;7.18274;0.39256
3,4,6-trimethyloctane;5.43185;0.27721
3,3,5-trimethyloctane;7.18888;0.39296
3,3,6-trimethyloctane;7.18512;0.39271
2,4,7-trimethyloctane;7.10215;0.38725
2,6,6-trimethyloctane;7.86667;0.43761
2,5,6-trimethyloctane;6.11800;0.32241
2,5,5-trimethyloctane;7.86391;0.43743
3,4,5-trimethyloctane;5.12564;0.25703
4,4-diethyloctane;3.07080;0.11655
3,3-diethyloctane;3.07081;0.11655
3,6-diethyloctane;2.44098;0.07695
3,5-diethyloctane;2.44125;0.07697
4,5-diethyloctane;2.14029;0.05804
3,4-diethyloctane;2.14069;0.05807
2,2-dimethyl,3,3-diethylhexane;8.62526;0.46578
2,5-dimethyl-3,3-diethylhexane;7.75319;0.41095
2,4-dimethyl-3,3-diethylhexane;6.59131;0.33790
2,2-dimethyl-3,4-diethylhexane;7.98946;0.42580
2,3-dimethyl-3,4-diethylhexane;7.00193;0.36371
2,4-dimethyl-3,4-diethylhexane;7.18006;0.37491
2,5-dimethyl-3,4-diethylhexane;6.70756;0.34521
3,4-dimethyl-3,4-diethylhexane;7.54083;0.39760
2,4-dimethyl-3-ethyl-3-isopropylpentane;9.36409;0.51223
3,4-dimethyl-3-ethyloctane;5.57938;0.27427
2,2-dimethyl-3-ethyloctane;7.07424;0.36826
2,3-dimethyl-3-ethyloctane;6.25682;0.31687
3,6-dimethyl-3-ethyloctane;6.06007;0.30450
4,4-dimethyl-3-ethyloctane;5.98588;0.29983
4,5-dimethyl-3-ethyloctane;4.42054;0.20141
2,5-dimethyl-3-ethyloctane;5.40316;0.26319
3,5-dimethyl-3-ethyloctane;6.06065;0.30453
2,6-dimethyl-3-ethyloctane;5.40277;0.26317
2,4-dimethyl-3-ethyloctane;5.10550;0.24448
2,7-dimethyl-3-ethyloctane;6.08758;0.30622
2,4-dimethyl-3-isopropylheptane;7.38906;0.38805
2,2-dimethyl-3-isopropylheptane;9.35453;0.51163
2,5-dimethyl-3-isopropylheptane;7.69315;0.40717
2,6-dimethyl-3-isopropylheptane;8.37330;0.44994
2,3-dimethyl-3-isopropylheptane;8.35378;0.44871
2,2-dimethyl-3-tert-butylhexane;12.91043;0.73520
2,2-dimethyl-4,4-diethylhexane;9.40303;0.51468
2,3-dimethyl-4,4-diethylhexane;6.77370;0.34936
3,3-dimethyl-4,4-diethylhexane;7.54007;0.39755
2,5-dimethyl-4-ethyloctane;5.40841;0.26352
2,4-dimethyl-4-ethyloctane;6.74326;0.34745
2,6-dimethyl-4-ethyloctane;5.70715;0.28231
2,3-dimethyl-4-ethyloctane;5.10346;0.24435
2,7-dimethyl-4-ethyloctane;6.38890;0.32517
3,6-dimethyl-4-ethyloctane;4.72714;0.22069
4,5-dimethyl-4-ethyloctane;5.58037;0.27433
3,4-dimethyl-4-ethyloctane;5.57912;0.27426
3,5-dimethyl-4-ethyloctane;4.42385;0.20162
2,2-dimethyl-4-ethyloctane;7.55282;0.39835
3,3-dimethyl-4-ethyloctane;5.98593;0.29983
3,5-dimethyl-4-isopropylheptane;6.70631;0.34513
2,3-dimethyl-4-isopropylheptane;7.38062;0.38752
2,4-dimethyl-4-isopropylheptane;8.84074;0.47933
2,5-dimethyl-4-isopropylheptane;7.68130;0.40643
3,3-dimethyl-4-isopropylheptane;8.25824;0.44270
2,6-dimethyl-4-isopropylheptane;8.67991;0.46921
3,4-dimethyl-4-isopropylheptane;7.68194;0.40647
2,2-dimethyl-4-isopropylheptane;9.84035;0.54217
3,3-dimethyl-4-propylheptane;5.98617;0.29985
2,5-dimethyl-4-propylheptane;5.40838;0.26352
2,3-dimethyl-4-propylheptane;5.10028;0.24415
2,2-dimethyl-4-propylheptane;7.55442;0.39845
2,6-dimethyl-4-propylheptane;6.38934;0.32520
3,4-dimethyl-4-propylheptane;5.57558;0.27403
3,5-dimethyl-4-propylheptane;4.42369;0.20161
2,4-dimethyl-4-propylheptane;6.74285;0.34742
3,5-dimethyl-5-ethyloctane;6.06637;0.30489
4,4-dimethyl-5-ethyloctane;5.98651;0.29987
3,3-dimethyl-5-ethyloctane;6.47218;0.33041
2,5-dimethyl-5-ethyloctane;6.74547;0.34759
2,2-dimethyl-5-ethyloctane;7.55227;0.39831
2,3-dimethyl-5-ethyloctane;5.40639;0.26340
2,6-dimethyl-5-ethyloctane;5.40684;0.26342
2,4-dimethyl-5-ethyloctane;5.40710;0.26344
3,4-dimethyl-5-ethyloctane;4.41990;0.20137
3,3-dimethyl-6-ethyloctane;6.46830;0.33016
2,4-dimethyl-6-ethyloctane;5.70704;0.28230
3,4-dimethyl-6-ethyloctane;4.72487;0.22055
4,4-dimethyl-6-ethyloctane;6.46911;0.33021
3,5-dimethyl-6-ethyloctane;4.72258;0.22040
2,2-dimethyl-6-ethyloctane;7.55314;0.39837
2,5-dimethyl-6-ethyloctane;5.40445;0.26327
2,6-dimethyl-6-ethyloctane;6.74188;0.34736
2,3-dimethyl-6-ethyloctane;5.40540;0.26333
4,6-dimethyldecane;3.80409;0.16265
4,7-dimethyldecane;3.80380;0.16264
5,5-dimethyldecane;5.24406;0.25319
2,9-dimethyldecane;5.16276;0.24808
2,2-dimethyldecane;6.32863;0.32138
2,3-dimethyldecane;4.18307;0.18648
5,6-dimethyldecane;3.50096;0.14359
2,5-dimethyldecane;4.48365;0.20538
2,6-dimethyldecane;4.48154;0.20525
2,4-dimethyldecane;4.48194;0.20527
2,8-dimethyldecane;4.48541;0.20549
4,5-dimethyldecane;3.50300;0.14372
3,3-dimethyldecane;5.24522;0.25326
3,4-dimethyldecane;3.50001;0.14353
3,5-dimethyldecane;3.80696;0.16283
3,6-dimethyldecane;3.80547;0.16274
3,7-dimethyldecane;3.80195;0.16252
3,8-dimethyldecane;3.80254;0.16256
4,4-dimethyldecane;5.24356;0.25316
2,7-dimethyldecane;4.48328;0.20536
4-ethyl-4-isopropylheptane;5.17390;0.24878
3-ethyl-4-isopropylheptane;4.42551;0.20172
4-ethyl-4-propylheptane;3.07106;0.11657
3-ethyl-4-propylheptane;2.13860;0.05794
4-ethyldecane;1.21791;0.00005
3-ethyldecane;1.21722;0.00001
5-ethyldecane;1.21709;0.00000
2,3,3,4,4,5-hexamethylhexane;13.89553;0.79714
2,2,3,3,4,4-hexamethylhexane;15.24474;0.88197
2,2,3,3,4,5-hexamethylhexane;14.49307;0.83471
2,2,3,4,4,5-hexamethylhexane;14.60332;0.84164
2,2,3,3,5,5-hexamethylhexane;17.12204;1.00000
2,2,3,4,5,5-hexamethylhexane;15.20050;0.87919
5-isopropylnonane;3.50201;0.14366
4-isopropylnonane;3.50140;0.14362
2-methyl-3,3-diethylheptane;5.17088;0.24859
4-methyl-3,3-diethylheptane ;4.49225;0.20592
3-methyl-3,4-diethylheptane;4.89325;0.23113
2-methyl-3,4-diethylheptane;4.42113;0.20145
4-methyl-3,4-diethylheptane;4.89605;0.23131
2-methyl-3,5-diethylheptane;4.72470;0.22054
3-methyl-3,5-diethylheptane;5.37943;0.26170
4-methyl-3,5-diethylheptane;3.74146;0.15872
2-methyl-3-ethyl-3-isopropylhexane;7.27417;0.38083
5-methyl-3-ethylnonane;3.12141;0.11973
3-methyl-3-ethylnonane;4.15829;0.18492
2-methyl-3-ethylnonane;3.50048;0.14356
4-methyl-3-ethylnonane;2.81992;0.10078
2-methyl-3-isopropyloctane;5.78530;0.28722
2-methyl-4,4-diethylheptane;5.65613;0.27910
3-methyl-4,4-diethylheptane;4.49454;0.20606
2-methyl-4,5-diethylheptane ;4.72730;0.22070
3-methyl-4,5-diethylheptane ;3.74174;0.15873
2-methyl-4-ethyl-3-isopropylhexane;6.71153;0.34545
3-methyl-4-ethylnonane;2.82246;0.10094
5-methyl-4-ethylnonane;2.82089;0.10084
4-methyl-4-ethylnonane;4.15921;0.18498
2-methyl-4-ethylnonane;3.80166;0.16250
2-methyl-4-isopropyloctane;6.08476;0.30605
4-methyl-4-isopropyloctane;6.26262;0.31723
3-methyl-4-isopropyloctane;5.10564;0.24449
4-methyl-4-propyloctane;4.15641;0.18480
2-methyl-4-propyloctane;3.80531;0.16273
3-methyl-4-propyloctane;2.82085;0.10083
4-methyl-4-tert-butylheptane;9.70972;0.53396
2-methyl-4-tert-butylheptane;9.65581;0.53057
3-methyl-4-tert-butylheptane;8.67424;0.46886
2-methyl-5,5-diethylheptane;5.65697;0.27915
3-methyl-5,5-diethylheptane;4.97851;0.23649
3-methyl-5-ethylnonane;3.12200;0.11977
2-methyl-5-ethylnonane;3.80395;0.16264
4-methyl-5-ethylnonane;2.82149;0.10087
5-methyl-5-ethylnonane;4.15848;0.18494
4-methyl-5-isopropyloctane;5.10431;0.24440
3-methyl-5-isopropyloctane;5.40685;0.26342
2-methyl-5-isopropyloctane;6.08814;0.30626
4-methyl-5-propyloctane;2.82146;0.10087
3-methyl-5-propyloctane;3.12170;0.11975
2-methyl-5-propyloctane;3.80369;0.16263
2-methyl-6-ethylnonane;3.80242;0.16255
4-methyl-6-ethylnonane;3.12259;0.11981
3-methyl-6-ethylnonane;3.12202;0.11977
2-methyl-7-ethylnonane;3.80569;0.16275
3-methyl-7-ethylnonane;3.12167;0.11975
4-methyl-7-ethylnonane;3.12193;0.11976
5-methylundecane;1.89924;0.04289
6-methylundecane;1.90017;0.04295
4-methylundecane;1.89990;0.04293
3-methylundecane;1.90006;0.04294
2-methylundecane;2.58001;0.08569
2,2,3,4,4-pentamethyl-3-ethylpentane;15.24439;0.88195
2,2,4,6,6-pentamethylheptane;14.56328;0.83912
2,2,4,4,6-pentamethylheptane;14.15438;0.81341
2,2,4,4,5-pentamethylheptane;12.99721;0.74066
2,2,3,4,4-pentamethylheptane;12.50070;0.70944
2,2,3,3,6-pentamethylheptane;13.38017;0.76474
2,2,3,3,4-pentamethylheptane;12.22459;0.69208
2,2,4,5,6-pentamethylheptane;12.12224;0.68565
2,2,3,3,5-pentamethylheptane;12.70408;0.72223
2,2,4,5,5-pentamethylheptane;12.99027;0.74022
2,3,4,5,6-pentamethylheptane;9.66759;0.53131
2,2,3,5,6-pentamethylheptane;11.94410;0.67444
2,3,3,4,6-pentamethylheptane;11.34451;0.63675
2,2,3,6,6-pentamethylheptane;14.07410;0.80837
2,3,3,4,5-pentamethylheptane;10.36609;0.57523
2,3,3,4,4-pentamethylheptane;11.80788;0.66588
2,2,5,5,6-pentamethylheptane;13.67834;0.78348
2,3,3,5,6-pentamethylheptane;11.53270;0.64858
2,3,4,4,5-pentamethylheptane;10.36317;0.57505
2,2,3,5,5-pentamethylheptane;12.99005;0.74021
2,3,4,4,6-pentamethylheptane;11.52896;0.64834
2,3,4,5,5-pentamethylheptane;10.54864;0.58671
2,3,3,5,5-pentamethylheptane;12.58389;0.71467
2,4,4,5,5-pentamethylheptane;12.29317;0.69639
3,3,4,4,5-pentamethylheptane;11.13191;0.62338
3,3,4,5,5-pentamethylheptane;11.41675;0.64129
2,2,3,4,5-pentamethylheptane;10.94903;0.61188
2,2,3,4,6-pentamethylheptane;11.93430;0.67383
5-propylnonane;1.21709;0.00000
4-propylnonane;1.21757;0.00003
4-tert-butyloctane;7.07184;0.36811
2,2,4,4-tetramethyl-3-ethylhexane;11.81149;0.66611
2,2,3,5-tetramethyl-3-ethylhexane;12.29393;0.69644
2,3,4,5-tetramethyl-3-ethylhexane;9.95740;0.54953
2,3,4,4-tetramethyl-3-ethylhexane;10.71360;0.59708
2,2,5,5-tetramethyl-3-ethylhexane;13.41163;0.76671
2,2,3,4-tetramethyl-3-ethylhexane;11.12626;0.62302
2,2,4,5-tetramethyl-3-ethylhexane;10.95628;0.61234
2,2,4,4-tetramethyl-3-isopropylpentane;15.18506;0.87822
2,2,3,4-tetramethyl-3-isopropylpentane;13.89569;0.79715
2,3,3,4-tetramethyl-4-ethylhexane;10.72277;0.59766
2,2,3,5-tetramethyl-4-ethylhexane;10.95269;0.61211
2,2,3,3-tetramethyl-4-ethylhexane;11.53528;0.64874
2,2,4,5-tetramethyl-4-ethylhexane;12.58355;0.71465
2,2,3,4-tetramethyl-4-ethylhexane;11.41187;0.64098
2,3,3,5-tetramethyl-4-ethylhexane;10.36467;0.57514
2,2,4,6-tetramethyloctane;10.13904;0.56095
2,3,5,7-tetramethyloctane;8.67156;0.46869
2,2,3,6-tetramethyloctane;9.65246;0.53036
2,2,3,5-tetramethyloctane;9.65177;0.53032
2,2,3,4-tetramethyloctane;9.35538;0.51168
2,2,3,3-tetramethyloctane;10.80165;0.60261
2,2,3,7-tetramethyloctane;10.33417;0.57322
2,2,4,4-tetramethyloctane;11.57132;0.65101
2,2,4,5-tetramethyloctane;9.82901;0.54146
2,3,4,5-tetramethyloctane;7.38949;0.38808
2,2,6,7-tetramethyloctane;10.51547;0.58462
2,4,4,5-tetramethyloctane;9.25001;0.50506
2,3,6,7-tetramethyloctane;8.37212;0.44986
2,3,6,6-tetramethyloctane;9.43384;0.51662
2,3,5,6-tetramethyloctane;7.69313;0.40717
2,3,5,5-tetramethyloctane;9.43084;0.51643
2,4,4,7-tetramethyloctane;10.41150;0.57808
2,3,4,6-tetramethyloctane;7.68352;0.40657
2,4,5,5-tetramethyloctane;9.25029;0.50508
2,3,4,4-tetramethyloctane;8.94690;0.48600
2,3,3,7-tetramethyloctane;9.92838;0.54771
2,3,3,6-tetramethyloctane;9.24797;0.50493
2,3,3,5-tetramethyloctane;9.25290;0.50524
2,3,3,4-tetramethyloctane;8.76646;0.47466
2,2,7,7-tetramethyloctane;12.65578;0.71919
2,3,4,7-tetramethyloctane;8.36384;0.44934
3,3,4,6-tetramethyloctane;8.57419;0.46257
4,4,5,5-tetramethyloctane;9.71542;0.53432
